area,layer,population,0
postcentral,II/III,E,2.790290511337576
postcentral,II/III,I,2.790290511337576
postcentral,VI,E,2.5791465775595928
postcentral,VI,I,2.5791465775595928
posteriorcingulate,IV,E,3.3883865572570953
posteriorcingulate,IV,I,3.3883865572570953
posteriorcingulate,V,E,2.923022598870056
posteriorcingulate,V,I,2.923022598870056
posteriorcingulate,II/III,E,3.155317255545046
posteriorcingulate,II/III,I,3.155317255545046
posteriorcingulate,VI,E,2.923022598870056
posteriorcingulate,VI,I,2.923022598870056
precentral,IV,E,2.8529411764705883
precentral,IV,I,2.8529411764705883
precentral,V,E,2.7544642857142856
precentral,V,I,2.7544642857142856
precentral,II/III,E,2.344059405940594
precentral,II/III,I,2.344059405940594
precentral,VI,E,2.7544642857142856
precentral,VI,I,2.7544642857142856
precuneus,IV,E,2.475441045775007
precuneus,IV,I,2.475441045775007
precuneus,V,E,2.475441045775007
precuneus,V,I,2.475441045775007
precuneus,II/III,E,2.475441045775007
precuneus,II/III,I,2.475441045775007
precuneus,VI,E,2.475441045775007
precuneus,VI,I,2.475441045775007
rostralanteriorcingulate,IV,E,3.6344086021505375
rostralanteriorcingulate,IV,I,3.6344086021505375
rostralanteriorcingulate,V,E,3.2427745664739884
rostralanteriorcingulate,V,I,3.2427745664739884
rostralanteriorcingulate,II/III,E,3.4658536585365853
rostralanteriorcingulate,II/III,I,3.4658536585365853
rostralanteriorcingulate,VI,E,3.2427745664739884
rostralanteriorcingulate,VI,I,3.2427745664739884
rostralmiddlefrontal,IV,E,1.7042016806722688
rostralmiddlefrontal,IV,I,1.7042016806722688
rostralmiddlefrontal,V,E,1.5914529914529914
rostralmiddlefrontal,V,I,1.5914529914529914
rostralmiddlefrontal,II/III,E,1.7474747474747474
rostralmiddlefrontal,II/III,I,1.7474747474747474
rostralmiddlefrontal,VI,E,1.5914529914529914
rostralmiddlefrontal,VI,I,1.5914529914529914
superiorfrontal,IV,E,1.8090088616157005
superiorfrontal,IV,I,1.8090088616157005
superiorfrontal,V,E,1.641233252596666
superiorfrontal,V,I,1.641233252596666
superiorfrontal,II/III,E,1.9719323671497584
superiorfrontal,II/III,I,1.9719323671497584
superiorfrontal,VI,E,1.641233252596666
superiorfrontal,VI,I,1.641233252596666
superiorparietal,IV,E,3.3932049326214084
superiorparietal,IV,I,3.3932049326214084
superiorparietal,V,E,2.940214233841685
superiorparietal,V,I,2.940214233841685
superiorparietal,II/III,E,2.7477243871078576
superiorparietal,II/III,I,2.7477243871078576
superiorparietal,VI,E,2.940214233841685
superiorparietal,VI,I,2.940214233841685
superiortemporal,IV,E,2.6236266099034595
superiortemporal,IV,I,2.6236266099034595
superiortemporal,V,E,2.2508966244725737
superiortemporal,V,I,2.2508966244725737
superiortemporal,II/III,E,2.5332513951634335
superiortemporal,II/III,I,2.5332513951634335
superiortemporal,VI,E,2.2508966244725737
superiortemporal,VI,I,2.2508966244725737
supramarginal,IV,E,2.517640591684435
supramarginal,IV,I,2.517640591684435
supramarginal,V,E,2.1794210805031824
supramarginal,V,I,2.1794210805031824
supramarginal,II/III,E,2.527604056517317
supramarginal,II/III,I,2.527604056517317
supramarginal,VI,E,2.1794210805031824
supramarginal,VI,I,2.1794210805031824
temporalpole,IV,E,1.9819694868238558
temporalpole,IV,I,1.9819694868238558
temporalpole,V,E,1.7831149927219796
temporalpole,V,I,1.7831149927219796
temporalpole,II/III,E,2.164625850340136
temporalpole,II/III,I,2.164625850340136
temporalpole,VI,E,1.7831149927219796
temporalpole,VI,I,1.7831149927219796
transversetemporal,IV,E,3.1114130434782608
transversetemporal,IV,I,3.1114130434782608
transversetemporal,V,E,2.362397820163488
transversetemporal,V,I,2.362397820163488
transversetemporal,II/III,E,2.6702317290552586
transversetemporal,II/III,I,2.6702317290552586
transversetemporal,VI,E,2.362397820163488
transversetemporal,VI,I,2.362397820163488
