area,layer,population,0
parstriangularis,II/III,E,1.818824237863649
parstriangularis,II/III,I,1.818824237863649
parstriangularis,VI,E,1.779849879154788
parstriangularis,VI,I,1.779849879154788
pericalcarine,IV,E,2.02537028459257
pericalcarine,IV,I,2.02537028459257
pericalcarine,V,E,1.629273408957824
pericalcarine,V,I,1.629273408957824
pericalcarine,II/III,E,1.9703608039296836
pericalcarine,II/III,I,1.9703608039296836
pericalcarine,VI,E,1.629273408957824
pericalcarine,VI,I,1.629273408957824
postcentral,IV,E,1.3372949202725348
postcentral,IV,I,1.3372949202725348
postcentral,V,E,1.1337915342042297
postcentral,V,I,1.1337915342042297
postcentral,II/III,E,1.2986745733969756
postcentral,II/III,I,1.2986745733969756
postcentral,VI,E,1.1337915342042297
postcentral,VI,I,1.1337915342042297
posteriorcingulate,IV,E,1.6357542308834994
posteriorcingulate,IV,I,1.6357542308834994
posteriorcingulate,V,E,1.3341937107583157
posteriorcingulate,V,I,1.3341937107583157
posteriorcingulate,II/III,E,1.3547048941081978
posteriorcingulate,II/III,I,1.3547048941081978
posteriorcingulate,VI,E,1.3341937107583157
posteriorcingulate,VI,I,1.3341937107583157
precentral,IV,E,0.3701084155368617
precentral,IV,I,0.3701084155368617
precentral,V,E,0.13419266770726568
precentral,V,I,0.13419266770726568
precentral,II/III,E,0.424017925332314
precentral,II/III,I,0.424017925332314
precentral,VI,E,0.13419266770726568
precentral,VI,I,0.13419266770726568
precuneus,IV,E,1.1772755874637344
precuneus,IV,I,1.1772755874637344
precuneus,V,E,1.1772755874637344
precuneus,V,I,1.1772755874637344
precuneus,II/III,E,1.1772755874637344
precuneus,II/III,I,1.1772755874637344
precuneus,VI,E,1.1772755874637344
precuneus,VI,I,1.1772755874637344
rostralanteriorcingulate,IV,E,3.228043894096004
rostralanteriorcingulate,IV,I,3.228043894096004
rostralanteriorcingulate,V,E,2.6879857744595803
rostralanteriorcingulate,V,I,2.6879857744595803
rostralanteriorcingulate,II/III,E,3.1431817694287294
rostralanteriorcingulate,II/III,I,3.1431817694287294
rostralanteriorcingulate,VI,E,2.6879857744595803
rostralanteriorcingulate,VI,I,2.6879857744595803
rostralmiddlefrontal,IV,E,1.580852065578457
rostralmiddlefrontal,IV,I,1.580852065578457
rostralmiddlefrontal,V,E,1.4153125770819441
rostralmiddlefrontal,V,I,1.4153125770819441
rostralmiddlefrontal,II/III,E,1.666262353304733
rostralmiddlefrontal,II/III,I,1.666262353304733
rostralmiddlefrontal,VI,E,1.4153125770819441
rostralmiddlefrontal,VI,I,1.4153125770819441
superiorfrontal,IV,E,2.0136876246295223
superiorfrontal,IV,I,2.0136876246295223
superiorfrontal,V,E,1.776744033944852
superiorfrontal,V,I,1.776744033944852
superiorfrontal,II/III,E,2.146954099322039
superiorfrontal,II/III,I,2.146954099322039
superiorfrontal,VI,E,1.776744033944852
superiorfrontal,VI,I,1.776744033944852
superiorparietal,IV,E,1.2882183067111146
superiorparietal,IV,I,1.2882183067111146
superiorparietal,V,E,1.1181126665177534
superiorparietal,V,I,1.1181126665177534
superiorparietal,II/III,E,1.3754807317099091
superiorparietal,II/III,I,1.3754807317099091
superiorparietal,VI,E,1.1181126665177534
superiorparietal,VI,I,1.1181126665177534
superiortemporal,IV,E,1.1999413833866277
superiortemporal,IV,I,1.1999413833866277
superiortemporal,V,E,0.9803820713170449
superiortemporal,V,I,0.9803820713170449
superiortemporal,II/III,E,1.2611715657951934
superiortemporal,II/III,I,1.2611715657951934
superiortemporal,VI,E,0.9803820713170449
superiortemporal,VI,I,0.9803820713170449
supramarginal,IV,E,0.9702593970704841
supramarginal,IV,I,0.9702593970704841
supramarginal,V,E,0.9077906033630615
supramarginal,V,I,0.9077906033630615
supramarginal,II/III,E,0.9384275182971338
supramarginal,II/III,I,0.9384275182971338
supramarginal,VI,E,0.9077906033630615
supramarginal,VI,I,0.9077906033630615
temporalpole,IV,E,1.6186068176186692
temporalpole,IV,I,1.6186068176186692
temporalpole,V,E,1.4574254464276417
temporalpole,V,I,1.4574254464276417
temporalpole,II/III,E,1.950355131909669
temporalpole,II/III,I,1.950355131909669
temporalpole,VI,E,1.4574254464276417
temporalpole,VI,I,1.4574254464276417
transversetemporal,IV,E,1.3708111514003256
transversetemporal,IV,I,1.3708111514003256
transversetemporal,V,E,0.996647623169694
transversetemporal,V,I,0.996647623169694
transversetemporal,II/III,E,1.0983267815939066
transversetemporal,II/III,I,1.0983267815939066
transversetemporal,VI,E,0.996647623169694
transversetemporal,VI,I,0.996647623169694
